=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.04.14 15:23:42 =~=~=~=~=~=~=~=~=~=~=~=
Started
Initializing Accelerometer, Magnetometer, and Gyroscope
X_a,Y_a,Z_a,X_m,Y_m,Z_m,X_g,Y_g,Z_g
0.01,-0.03,0.97,-43.02,50.73,-51.92,0.55,0.06,0.24
0.00,-0.03,0.97,-43.23,50.38,-54.00,0.31,0.06,0.06
0.00,-0.03,0.97,-43.04,49.69,-53.53,0.24,0.06,-0.06
0.00,-0.03,0.96,-43.07,50.09,-51.88,0.37,0.06,0.12
0.00,-0.03,0.96,-42.87,50.43,-53.80,0.18,0.06,0.12
0.01,-0.03,0.96,-43.05,50.56,-53.26,0.37,0.18,0.00
0.00,-0.03,0.97,-43.01,50.49,-53.52,0.37,0.12,0.18
0.01,-0.03,0.97,-42.96,50.02,-52.94,0.43,0.18,0.24
0.00,-0.03,0.97,-43.13,50.27,-53.98,0.31,0.00,0.12
0.00,-0.03,0.96,-43.18,50.28,-54.53,0.37,0.06,0.06
0.00,-0.03,0.96,-43.12,50.20,-52.97,0.37,0.06,0.12
0.00,-0.03,0.97,-42.96,50.26,-53.39,0.55,0.12,0.31
0.00,-0.03,0.97,-42.71,50.44,-54.81,0.43,0.06,0.00
0.00,-0.03,0.97,-43.81,50.22,-53.55,0.55,-0.12,0.00
0.00,-0.03,0.97,-43.35,49.96,-54.36,0.43,0.00,0.18
0.01,-0.03,0.96,-42.93,50.98,-55.43,0.43,0.12,0.06
0.00,-0.03,0.96,-43.64,49.98,-53.82,0.43,0.06,0.18
0.00,-0.03,0.97,-43.07,50.77,-53.63,0.49,0.12,0.06
0.00,-0.03,0.97,-43.31,50.51,-53.48,0.49,-0.06,0.18
0.00,-0.03,0.97,-43.69,50.96,-53.77,0.43,-0.12,0.18
0.00,-0.03,0.97,-43.19,50.70,-53.65,0.43,0.06,0.06
0.01,-0.03,0.97,-42.82,50.31,-53.55,0.31,0.06,0.12
0.00,-0.03,0.97,-43.44,49.99,-54.65,0.43,0.00,0.18
0.01,-0.03,0.97,-42.83,50.70,-53.96,0.43,0.12,0.00
0.00,-0.03,0.97,-43.14,50.20,-53.88,0.49,0.12,0.18
0
